onset	duration	temperature	ratings	regulate-up/down
1646.216	12.5	45.300000	n/a	n/a
1665.23	11.0	n/a	147.000000	n/a
1683.463	12.5	45.300000	n/a	n/a
1701.48	11.0	n/a	16.000000	n/a
1719.712	12.5	46.300000	n/a	n/a
1736.715	11.0	n/a	134.000000	n/a
1756.943	12.5	47.300000	n/a	n/a
1775.973	11.0	n/a	167.000000	n/a
1793.209	12.5	44.300000	n/a	n/a
1813.237	11.0	n/a	17.000000	n/a
1830.472	12.5	43.300000	n/a	n/a
1847.475	11.0	n/a	5.000000	n/a
1866.705	12.5	47.300000	n/a	n/a
1887.713	11.0	n/a	175.000000	n/a
1904.949	12.5	44.300000	n/a	n/a
1924.96	11.0	n/a	25.000000	n/a
1941.182	12.5	46.300000	n/a	n/a
1959.215	11.0	n/a	48.000000	n/a
1977.448	12.5	43.300000	n/a	n/a
1996.462	11.0	n/a	0.000000	n/a
2015.692	12.5	45.300000	n/a	n/a
2033.709	11.0	n/a	19.000000	n/a
